id,X6.azauracil.50ug.mL.3,Cadmium_Chloride.75uM.2,Caffeine.15mM.2,Cobalt_Chloride.2mM.2,Congo_Red.75ug.mL.3,Copper_Sulfate..1,Diamide.1.5mM.3,EGTA.5mM.3,EtOH..1,EtOH_Glucose..1,Fluconazole.100uM.2,Formamide.2..2,Fructose..1,Galactose..1,Glycerol..1,Lactate..1,Lithium_Chloride.100mM.2,Magnesium_Chloride..1,Maltose..1,Manganese_Sulfate..1,Mannose..1,Methotrexate.0.4mM.2,Neomycin.5mg.mL.2,Paraquat.0.75mM.3,Raffinose..1,SDS.0.075..3,Sorbitol.1.5M.2,Sucrose..1,Trehalose..1,Tunicamycin.3uM.3,Xylose..1,YNB..1,YNB.ph3.1,YNB.ph8.1,YPD..1,YPD.15.1,YPD..2,YPD..3,YPD.37.1,Zeocin.25ug.mL.3
A01_58,1.8505345,3.02435,-4.21466,-0.366105,1.207035,4.134504,2.4194925,2.5710515,1.9448565,0.1688275,4.60557,-0.2299725,0.4349655,2.5110195,-2.28077,0.989581,11.80645,0.88927,10.677335,-0.110945,1.8365255,-0.831655,0.41554,-1.9892235,1.691933,-5.9099555,7.197089,-0.512135,-0.739727,4.26747,-0.2036,43.96,-1.08522255,0.05089,56.655,-2.354282,59.995,61.73,4.045595,-13.303665
A01_59,-0.183462,-10.1199925,-4.42609,11.868055,-0.531035,0.913142,-0.093998,8.259991,1.0690805,0.8716615,4.296065,0.199654,1.228177,2.7742685,0.355245,-0.549533,-12.72375,0.924015,3.516615,-6.31295,-0.440304,0.74339,3.572393,10.5911185,1.0578955,-14.1968495,0.345052,1.005805,1.5021115,-5.45283,1.776155,41.45,-0.3217243,0.105405,57.62,-2.482114,61.06,61.395,6.15498,7.65356
A01_60,6.3820855,7.3159845,-15.650985,-16.643375,8.104555,6.955226,7.523604,-23.3133295,-1.091629,8.615837,-10.029645,-0.939843,6.227467,4.9279315,-1.86355,-2.588659,-6.5551,5.9054055,3.231375,3.895715,4.983342,-1.13237,-0.932944,5.909005,0.367632,1.056593,-6.86396,6.63512,0.204453,4.012385,0.932395,45.95,0.1266287,0.9955,65.14,-1.6704045,68.12,68.83,14.241355,-1.33156
A01_61,3.6172175,9.0557215,-6.386375,-0.78633,4.24165,4.9365585,2.603643,11.8822455,-2.3640905,3.6677765,-0.846575,3.1035175,3.311932,1.516694,0.79564,-0.9638335,-9.6967,2.2020305,4.72815,-5.453735,0.5015885,2.11018,2.767205,1.7259935,-0.4041045,-1.6408615,-4.8792,4.60787,0.113379,3.772835,-0.07089,45.825,-0.89513375,-1.544845,60.43,-1.8539995,63.35,64.16,6.50718,15.708295
A01_62,-2.8386355,10.570176,5.561015,12.573895,-4.812295,-4.606972,-4.055181,7.1837,-0.5357875,-3.5947685,-1.34956,2.8164525,-2.9298895,-1.5997895,1.767915,1.1903985,4.04705,-3.410904,1.87975,13.23976,-2.5166585,4.03724,3.674356,0.778744,-0.856951,1.473813,-1.4965085,-3.974275,0.3452175,-4.871635,1.18016,41.325,1.22794525,0.079195,52.295,1.2788125,54.985,55,-5.75278,4.494155
A01_63,-1.5227675,-11.4627105,-14.53628,-8.806725,-2.57261,-5.524315,-3.874397,-1.3493825,-2.298202,-3.5137335,-11.699375,2.806558,-2.067138,-1.898187,-2.748585,-2.23336,3.79005,-3.746781,-13.11721,0.552045,-3.9370815,-0.91754,0.017034,-3.1638665,-2.550668,5.44248,-1.568699,-4.78266,-2.6810815,-0.85341,-3.050445,40.285,-1.94990835,0.67987,52.3,1.476709,56.525,56.33,-1.713105,-11.991155
A01_64,2.801578,-10.585479,-1.477265,-6.901055,2.09785,1.908797,2.1857905,0.7606045,3.4711455,2.8434615,-5.75268,-0.5118445,2.8618095,4.9016905,1.36572,3.303764,2.3464,2.5245375,9.2327,3.795705,3.6631685,0.585985,2.5060725,-1.4147835,4.5361805,1.454425,0.181187,3.25342,1.6421435,4.862665,1.76102,45.455,0.53469985,0.72024,57.9,3.954486,60.915,62.505,-4.73302,-3.532685
A01_65,3.3145625,12.3948125,4.78269,-6.906155,0.43352,5.416309,3.719011,-3.7526175,1.3289015,3.3721725,-14.62512,-1.3593685,3.890393,1.7541645,0.37495,3.2681705,13.7431,4.148225,6.6629,5.00263,5.6802855,0.505575,-1.302597,-4.8346855,2.0616525,-1.372787,3.639734,0.986615,-0.5646385,1.61214,0.34028,45.49,-0.68760275,-1.21177,61.08,2.2784205,62.61,62.21,6.27102,-15.006555
A01_66,-0.569544,-20.5687705,-4.81075,3.90074,-0.773315,-0.274134,-0.033159,0.37933,2.2593905,-0.1508965,-12.407845,1.095415,-0.8567685,0.948419,0.851855,1.7146915,-10.20225,-0.9886,-9.24795,4.140915,-0.574146,-1.849255,5.3830715,3.884485,0.9114825,-10.791777,4.7209155,-2.35779,0.129917,-4.343965,-0.30536,42.02,-0.704202,-0.92441,54.885,-1.2140105,57.275,58.365,-5.15995,-9.2311
A01_67,-0.1729245,-1.082524,-11.220715,14.002255,-0.307635,1.538419,0.4641855,4.4785995,4.385622,1.809179,4.767735,4.360393,1.411458,3.1111025,1.90986,4.1974175,-7.4433,0.812463,-6.58537,-4.38315,2.7443785,-0.840645,-3.2510265,0.464831,3.4327445,8.7975815,8.1855555,0.12101,2.7686195,3.036915,1.938865,44.995,2.0718013,0.8714,55.865,5.5483955,59.595,60.97,-4.111955,-2.169625
