X6.azauracil.50ug.mL.3	Cadmium_Chloride.75uM.2	Caffeine.15mM.2	Cobalt_Chloride.2mM.2	Congo_Red.75ug.mL.3	Copper_Sulfate..1	Diamide.1.5mM.3	EGTA.5mM.3	EtOH..1	EtOH_Glucose..1	Fluconazole.100uM.2	Formamide.2..2	Fructose..1	Galactose..1	Glycerol..1	Lactate..1	Lithium_Chloride.100mM.2	Magnesium_Chloride..1	Maltose..1	Manganese_Sulfate..1	Mannose..1	Methotrexate.0.4mM.2	Neomycin.5mg.mL.2	Paraquat.0.75mM.3	Raffinose..1	SDS.0.075..3	Sorbitol.1.5M.2	Sucrose..1	Trehalose..1	Tunicamycin.3uM.3	Xylose..1	YNB..1	YNB.ph3.1	YNB.ph8.1	YPD..1	YPD.15.1	YPD..2	YPD..3	YPD.37.1	Zeocin.25ug.mL.3
2.93698937802894	2.92087589085964	2.94747741156318	2.33760791652341	2.70770088901155	2.75822150121345	2.58355990842315	1.75815442593241	2.74933113898485	2.72500275887118	2.39233169078464	1.99461426776571	2.15126879775089	3.63357963456948	3.00390212191157	3.35494084242593	2.90243486484197	1.94217600330407	2.93446533641441	2.76694579709884	2.54985579286364	3.28817593445866	3.18428700505275	3.65157520519858	2.20950425514596	2.83843517344862	2.48617062820432	2.64480062035571	2.58254949247244	2.52289187525604	3.30892107129872	2.25493348302092	2.37409830112333	2.80807226157942	2.61155081048764	2.63837902302406	2.43282266633796	2.6635164716085	2.28641297334758	2.32160767588415
2.79884355156874	2.56511490064048	2.29606910744539	1.88410663229036	2.31411859866279	2.75052704011834	2.4367656482168	2.67935919706885	2.79241932380822	2.53888980519361	2.94859220512711	3.34267517329434	2.45276838191189	3.24906221837156	1.81102966604666	1.94524070424557	2.41061244142839	2.02894651637506	2.1123127704882	3.17468796431336	2.47523761818763	1.93211637092149	2.4429763293273	3.24890301417675	2.49984088049471	3.63316558336415	2.11967710570809	2.37784824714069	2.09749192460307	4.48209919467036	2.18284155161783	2.51225306223341	2.25737598188607	3.3015954977897	2.52636290336461	2.28271169496996	2.42522752018875	2.92462113939061	2.62291449065996	2.53351873044976
3.06743997754323	3.02898392411014	3.72820290955951	2.59669655018935	2.99696167755283	2.73765773846113	3.42593062968823	2.08414762251404	2.64015175015702	2.39178191382461	2.18672557514508	2.29645056938231	2.61111263985702	4.31203167407744	2.7338130611132	2.27018087888784	3.47424088776983	2.07222559091068	2.35548994524147	2.32352707125253	2.41750974459406	2.63166618513714	3.13614347197554	3.96426280502613	2.51819532759957	2.60358236937764	2.18698008666483	2.48734547491765	2.44603022310904	2.80885029692251	2.68697079383226	3.48428257925389	2.28438385905162	2.79318336842258	2.42758933452085	2.62479858637533	3.0745940405806	3.24976598677435	2.92055552953136	2.67678397984014
2.71423408989421	2.56476590230108	2.57415973060488	2.5014220693408	2.36956836430842	2.11016961571915	1.86751108481526	2.83890929232087	2.76139373107009	2.98634406875307	2.20467130452658	2.05751316241632	1.93672688262648	2.79045706520893	2.7417627877553	3.39672082129168	2.86275641533148	2.7898363602888	1.93673211094293	2.77253542576407	2.26519511305343	2.88796311726833	2.97076207648686	2.09699364556285	2.32624904756617	2.13825251469271	2.72669098789261	2.34451985523136	2.44419661021854	2.08525304678648	3.12674801158651	2.53077911149388	2.53570008028994	2.60300921463951	2.30701525286492	2.15729259441575	2.27084317128761	2.49500543822777	2.20016403038363	2.77824441708072
2.68797335183785	2.21113722373545	2.68639336457575	2.78037824120024	2.5675120319927	2.15852152734512	2.34346878415113	2.18442922436453	3.14361454612797	2.92740376879309	3.58207476628433	1.95214937411399	2.11056874162062	2.96114364246238	2.11291614635684	3.18425894574555	2.00722731901694	2.76477283009133	2.00388736359367	2.69423583700798	2.75831628645394	2.1212297443094	2.41926310800879	1.99325253312304	2.2505642538913	3.29702221511485	2.75994890629441	2.54474912044089	2.51087724940206	5.00337408043012	2.81056800773377	3.34522223536799	3.40300428189569	2.96660520080067	2.30153040465898	2.29331557075651	2.89769663174716	2.38994361108616	2.19637283338981	2.07908541000836
2.19654744195565	2.20771552525044	2.55528756397972	3.04484295867359	2.95458126161934	2.04686772749876	2.33938759299786	2.41235023034882	2.78546288787093	2.31213503741882	2.22029968479698	2.11990973819472	2.45314981876972	2.99109815083931	3.58408887838912	3.49423271644934	2.54773274304007	3.13747367640697	3.12339339738506	2.40698290888287	2.21304372819441	2.56207211256382	2.13478920658045	3.0284859407462	3.18961674667735	3.44262297068902	2.33900660605776	2.02409874123657	2.37249073651843	2.48224961548843	2.36295347861854	2.08718865367254	1.85169540555255	2.92796028717103	1.999261215266	2.42657511213313	2.54764008482253	2.90093195977776	2.84912374958647	2.48130927074812
2.63259292027956	2.51230070030854	3.41179762018584	2.15977817106861	2.88643330859633	2.39390260463227	2.49632708629096	2.64459834853386	2.87156494369941	3.41667274330706	2.47959929953755	3.05447461723873	2.76867761459855	3.03454149375154	2.84964271066396	3.37790768107326	2.70286411807136	2.8417099277858	2.80005781047999	2.25222175259832	3.0750975979274	2.15338899166679	2.64910640205157	4.72884194976515	2.73558225360376	1.89522967159219	3.64427792599824	2.82234677751889	3.73363603906469	2.52424566625357	4.20721794768531	2.22680248696578	2.26828038086607	2.39360593263612	2.65513296176996	2.69012057481573	2.60329890539649	3.2116544708096	3.02413833244482	2.49399898907599
2.89471169799708	2.16402679912941	3.03459228568718	2.81975873981438	2.56111347083045	1.83994057948192	2.30662767151897	3.14187792798643	2.77097180632757	2.42428012829744	3.83723832496318	1.90188418962646	2.20649635462958	2.43527205445994	2.17016257400551	3.0198398004916	4.99527503063398	2.40108839101715	2.0409452579992	3.32908565901608	3.20614958991282	4.19026217400305	3.11293338222958	1.83447604953045	2.24193792932455	2.47762513017714	2.5198150842395	2.89172419894664	2.35193636148286	2.44126838266268	2.13997596373043	2.41281732881379	3.93299501865155	2.40091148536947	2.37393017486271	2.22500908559156	2.56236964653968	2.60617165709707	2.09740703506913	2.55444106748037
2.69370889053161	2.47669150057881	2.97387555833346	2.36106810378901	3.23132649014435	2.89789975775622	2.82414967961535	4.08330884424412	2.401364346341	2.4788408914752	2.28871296228154	2.54743918219175	3.630649659304	3.42483346277733	2.74168164908188	2.81158391763576	2.6117625851305	3.14601965045294	1.62557877552103	3.17192596408586	2.86273820866198	2.93889840876932	3.16839870040805	1.90392339806935	2.2404955207915	2.83490514557199	2.27291716710669	2.76462064627072	2.82466323309203	3.49836059647342	3.05050309265203	2.88079712279331	2.75832234560363	2.18619997067374	3.51004566583939	2.81728093061114	3.26657787461457	2.89114278423992	3.46809190153781	2.20202774890572
4.04276920819467	2.06084291484408	2.92245723526012	2.13033665566641	2.94593205512076	2.61852453419844	3.75301693766921	2.33748048812873	2.19149080388526	3.00381683450016	2.18263577738174	3.1941718701434	3.67040880403496	2.55081014237404	2.3977075504982	2.20920246700925	3.38839528995559	2.90610202184464	2.17586081854877	2.10165076646808	2.83123028367174	3.14397028368244	1.88316859160141	2.97020537134854	2.56277249507188	2.28642078050897	3.90171918766153	3.41565764491267	2.28780888518598	4.49285391932274	2.33300655463646	2.40730133837501	2.67301873862693	3.18231838628739	3.65053838613264	2.63722322214653	3.86074979417672	4.4492990251857	2.02998773831782	3.37753349260057
2.64586996891525	2.48246517999595	1.99178077289577	2.58986410225702	2.26159356152576	2.55467911751121	2.67821302494152	2.11105440323787	3.14987090818675	2.79011689858921	2.58763128139265	2.54328915449569	2.64314368733201	3.64751547239067	3.84172387233083	3.14392186756282	3.17777384929641	2.30339340703797	2.54082942383789	3.82196312803247	2.59140997012546	3.95998631184223	2.49290419041172	2.43060375828975	2.96123758373098	2.2307634428956	2.50991689111897	3.05049293012025	4.41232250140883	2.15187179306212	3.86163660962043	2.93454383557763	2.47452079783678	2.74356540783677	2.88964971059089	2.82146144978885	2.5878748224929	2.99470590923791	2.86735025907989	2.24156087358241
