id,X6.azauracil.50ug.mL.3,Cadmium_Chloride.75uM.2,Caffeine.15mM.2,Cobalt_Chloride.2mM.2,Congo_Red.75ug.mL.3,Copper_Sulfate..1,Diamide.1.5mM.3,EGTA.5mM.3,EtOH..1,EtOH_Glucose..1,Fluconazole.100uM.2,Formamide.2..2,Fructose..1,Galactose..1,Glycerol..1,Lactate..1,Lithium_Chloride.100mM.2,Magnesium_Chloride..1,Maltose..1,Manganese_Sulfate..1,Mannose..1,Methotrexate.0.4mM.2,Neomycin.5mg.mL.2,Paraquat.0.75mM.3,Raffinose..1,SDS.0.075..3,Sorbitol.1.5M.2,Sucrose..1,Trehalose..1,Tunicamycin.3uM.3,Xylose..1,YNB..1,YNB.ph3.1,YNB.ph8.1,YPD..1,YPD.15.1,YPD..2,YPD..3,YPD.37.1,Zeocin.25ug.mL.3
375_G5_52,1.224115,10.7139885,-11.190015,4.490105,-2.02342,2.53077,-0.03767,21.875675,0.99981,0.4438275,-3.855695,1.0404025,-1.3579215,-7.684275,-2.13007,-1.736663,4.354635,1.39641,8.195705,13.7177155,1.3326215,-0.043835,-0.341698,-2.303315,1.611192,-3.23126,-0.367143,0.771885,-2.640525,4.093015,-1.59879,42.045,-0.110167,2.5823505,55.35,0.956621,58.885,59.445,1.108825,-10.492595
375_G5_53,-8.40491,5.3213935,-1.0004,-7.07978,-5.1601,-5.856685,-6.754985,-11.05879,-6.950725,-9.1088605,3.335345,-0.105441,-9.357402,-3.6075,-7.986295,-6.3224115,6.216695,-7.90828,-1.39272,-3.414756,-9.066171,2.51934,3.451233,-3.701525,-6.097617,-13.7681,1.330219,-8.916235,-7.89158,-3.024945,-7.849535,35.305,0.261878,0.425588,47.69,-6.523741,49.7,50.07,-7.10406,4.612695
375_G5_54,-1.24616,-0.2594635,-6.99809,-0.928325,4.695665,1.287605,6.66475,8.9793,-3.348465,-3.1332785,-6.27841,4.001758,-0.9917635,1.725375,-2.86648,1.431469,-2.125135,-2.08837,-10.57753,-11.5815985,-4.8446505,0.509035,5.8537765,-1.190955,-0.763655,14.179495,-1.2898335,-3.799325,-2.9513445,17.581125,-2.90621,38.975,-1.091112,-0.710097,55.655,-4.024206,53.025,57.9,-8.415115,-7.13128
375_G5_55,2.52208,14.4077115,8.87128,2.626415,1.22594,2.17073,4.768815,16.888025,-2.321065,1.9365995,11.18771,2.075697,3.365412,8.03743,0.68748,-0.3883735,20.27087,-2.695735,10.131215,-8.4425935,2.369416,4.127395,2.4316445,-3.39305,4.1790495,-9.755465,6.159641,-0.57318,-1.0281325,2.351065,-1.048995,40.805,0.309339,-1.0571725,56.505,-3.757279,59.72,60.545,-3.130785,10.101325
375_G5_56,10.84862,-5.7128885,-13.743655,-2.108,10.06575,8.772005,8.240395,16.993435,4.97776,9.720332,4.62388,-1.3657035,9.5810385,11.468665,4.327935,2.874404,1.726585,6.879035,-4.135955,5.110037,6.8227505,-1.406415,4.7740875,6.983215,6.9465845,0.929005,-2.0262405,10.68239,4.908364,10.017175,3.76132,45.315,-0.4455455,0.4983445,64.595,2.85207,67.51,70.7,6.87634,22.51912
375_G5_57,7.80048,-8.744208,6.71882,5.78478,7.82206,8.89287,7.920265,-0.56873,5.264625,6.2781505,3.775655,-0.0211905,4.415511,11.453325,5.35365,5.5769215,14.76555,5.74705,14.52293,9.1027805,4.727586,-2.40201,1.5619735,0.819225,5.0884615,5.78417,0.962015,5.52546,6.832289,5.51851,4.19291,43.91,0.610878,0.5038155,61.3,4.695034,65.07,65.695,9.01376,23.347715
375_G5_58,-1.827055,14.602502,6.333985,9.93783,-5.765175,0.72383,-4.546625,10.973965,-1.298725,-3.142916,1.210565,3.189498,-2.7787715,5.05582,-3.632795,-2.649321,7.732705,-2.36171,-7.876555,22.1615885,-0.0377415,3.029035,-5.8238395,-1.64402,-2.99989,-6.72967,-0.3762305,-3.146375,-0.940106,-7.534865,-0.56209,41.575,0.6120935,1.460044,53.535,-0.5849925,54.4,54.365,-0.42467,-12.892325
375_G5_59,4.602735,-16.8012875,3.6059,-10.160655,7.45798,8.001095,5.920105,13.185775,4.15479,4.425092,-3.798295,-4.5403975,6.1491335,10.47388,6.62779,3.481407,-5.601625,5.279115,14.55374,-10.055828,5.457946,0.23109,-9.6243265,1.11682,8.772111,4.4996,4.283984,4.97955,2.204544,4.805735,2.364895,44.09,1.1052025,0.3046595,60.405,3.306486,64.765,65.37,4.54537,-15.36246
375_G5_60,3.93103,4.9852785,2.34676,11.90214,2.266825,9.37279,4.712065,-12.441525,6.1961,4.8572745,7.362065,8.01787,3.572774,14.99977,4.491335,5.4976365,4.701725,5.916805,12.409825,7.2339315,6.41703,4.334695,8.7987005,3.928965,3.5032385,16.12161,1.7078,5.24959,4.143198,-5.96817,4.911875,46.805,0.8592185,1.945709,60.025,10.022342,62.925,63.085,11.484785,29.945175
375_G5_61,6.95457,-7.5908445,2.827215,4.049295,10.31532,5.792335,13.780775,30.74224,3.29894,3.2837125,1.304485,-2.179622,6.1540845,-1.69676,0.675435,0.6864885,-7.88914,4.61591,5.38538,3.793429,6.1926655,-1.23638,4.1660475,2.71812,5.2683975,23.48602,0.28054,4.404405,0.1872215,12.00044,0.3095,45.02,0.672345,-0.340887,60.445,4.258961,61.315,68.68,5.717975,19.61951
