sample	AA	BB	CC	DD	EE	FF	GG	HH	II
5_13	0.0312781905776579	0.968721667365942	8.95717115845383e-12	4.27274730738121e-13	1.28182349817239e-10	6.34675998194298e-08	8.68281463241867e-12	1.28421924739246e-10	7.83141206987435e-08
5_14	7.35309042036748e-08	7.35309042036758e-08	7.45448176900077e-08	2.54513135477052e-10	8.17280016585314e-08	7.53399280919693e-08	7.45447976006021e-08	0.999999471217845	7.53082919437005e-08
5_17	7.98047254579702e-08	7.98047254579702e-08	7.35465646174423e-08	2.51080558911374e-10	7.66137321889515e-08	1.19463551473811e-07	7.35465595604087e-08	7.53134239638701e-08	0.999999421655613
5_18	1.55401236666413e-12	1.55401236666413e-12	1.62080684347515e-08	7.21839934381139e-12	2.16543457251566e-09	4.33954573487905e-12	0.99999994941537	1.60675823974008e-08	1.61288789197763e-08
5_25	0.0310651488907916	0.968934771015276	3.15967897667348e-12	1.13352803025302e-14	3.40058396774973e-12	1.6832473825206e-09	3.10637739097386e-12	3.40106804695795e-12	7.83976148347852e-08
5_26	0.968985680770457	0.0310141753886161	8.94945179366483e-12	4.26906558524389e-13	1.28071898235018e-10	6.34166557418745e-08	8.67533024371561e-12	1.28311266733207e-10	8.01498418496318e-08
5_29	0.499999958998615	0.499999958998615	3.15974872723617e-12	1.13355320902245e-14	3.40065948868826e-12	1.68338415883225e-09	3.10644543968422e-12	3.40114357895834e-12	8.03062680137391e-08
5_34	2.2377652602095e-09	2.2377652602095e-09	1.18113947523094e-08	1.30868856463286e-09	0.999985067357011	7.7608597709197e-10	6.34457802596785e-06	4.21262980963934e-07	8.1484302338155e-06
5_41	0.031221095847329	0.968778760311752	8.94945179366509e-12	4.26906558524407e-13	1.28071898235024e-10	6.34166557418763e-08	8.67533024371573e-12	1.28311266733212e-10	8.0149841849634e-08
5_42	1.55401236693872e-12	1.55401236693872e-12	1.62080684271843e-08	7.21839934508574e-12	2.16543457289798e-09	4.33954625704854e-12	0.99999994941537	1.60675824002367e-08	1.61288808789705e-08
5_47	1.55401236666413e-12	1.55401236666413e-12	1.6208068424324e-08	7.21839934381129e-12	2.16543457251557e-09	4.33954573487905e-12	0.999999949415384	1.60675823973999e-08	1.61288789197751e-08
5_66	8.4245742575857e-10	8.4245742575857e-10	4.55667629630337e-12	3.99700063371189e-13	1.19892672685625e-10	0.999999877805479	4.34175908381311e-12	1.20124785322985e-10	1.20260286993705e-07
6_4	1.58148453653074e-12	1.58148453653074e-12	0.999999832780773	7.79216059976900e-12	2.29435605750356e-09	4.55673185212475e-12	1.62186086208814e-08	7.46617801897214e-08	7.40289919339659e-08
6_7	8.42457425758552e-10	8.42457425758552e-10	4.55667629630334e-12	3.99700063371147e-13	1.19892672685617e-10	0.999999877805472	4.34175908381302e-12	1.20124785322976e-10	1.20260286993687e-07
6_9	0.969020431846966	0.0309794263475889	8.94134818173141e-12	4.26519943540349e-13	1.27955913780511e-10	6.33554833557752e-08	8.66747631059981e-12	1.28195065489836e-10	7.81757776340681e-08
6_11	8.42457425758576e-10	8.42457425758576e-10	4.55667629630347e-12	3.99700063371158e-13	1.19892672685627e-10	0.999999877805472	4.34175908381314e-12	1.20124785322982e-10	1.20260286993705e-07
6_19	0.0311216365241815	0.968878219507599	8.95737153094996e-12	4.27284345663378e-13	1.28185234315369e-10	6.34727757439194e-08	8.68300739958782e-12	1.2842481464057e-10	8.02207697349925e-08
6_22	0.00902189859429056	0.00902189859401055	4.02924848890287e-11	2.10210529025121e-12	6.30616370105457e-10	3.66158671533665e-07	3.9616555960275e-11	6.31802526054634e-10	0.981955835308604
6_24	7.98047254579622e-08	7.98047254579622e-08	7.35465646174308e-08	2.51080558911356e-10	7.66137321780434e-08	1.19463551473793e-07	7.35465595604014e-08	7.53134239638584e-08	0.999999421655641
6_31	1.70228027248353e-12	1.70228027248353e-12	2.29474139272008e-09	2.5430300471186e-10	0.999999836164007	1.1991388366861e-10	2.16693402242096e-09	8.18594028800063e-08	7.71372940722467e-08
6_33	0.000785654728254297	0.000785654728254275	6.2642031686833e-09	5.49861943487356e-10	1.64934719970324e-07	0.998264322960629	5.92212294320698e-09	1.65254264650735e-07	0.000164024657673899
6_35	1.55401236666411e-12	1.55401236666411e-12	1.62080684243229e-08	7.21839934381139e-12	2.16543457251566e-09	4.33954573487898e-12	0.99999994941537	1.60675823974001e-08	1.61288789197754e-08
6_36	1.58155378943883e-12	1.58155378943883e-12	0.999999829156068	7.7929701482898e-12	2.29459200607866e-09	4.55693139197276e-12	1.62193188357496e-08	7.64793126464736e-08	7.58352024979691e-08
6_50	8.42457494067256e-10	8.42457494067256e-10	4.55667236416162e-12	3.99692921510025e-13	1.19892678266636e-10	0.999999877728563	4.34175943459764e-12	1.20124278090029e-10	1.20337240270017e-07
6_59	4.23840194012658e-07	4.23840194012658e-07	2.294582789632e-09	2.5428542833398e-10	0.999930720287601	2.98566132384092e-05	2.16678425285275e-09	8.18537450947211e-08	3.84888493743867e-05
6_66	8.4245749406728e-10	8.4245749406728e-10	4.55667236416175e-12	3.99692921510036e-13	1.19892678266641e-10	0.99999987772852	4.34175943459789e-12	1.20124278090029e-10	1.20337240270002e-07
6_70	1.58148453653083e-12	1.58148453653083e-12	0.999999832780773	7.79216059976923e-12	2.29435605750356e-09	4.55673185212475e-12	1.62186086208814e-08	7.46617801897193e-08	7.40289919339659e-08
7_13	7.35926670046382e-08	9.81235560061849e-08	4.97382883437136e-08	2.54726873210998e-08	8.17966370399645e-08	7.54031974204697e-08	4.97382749396217e-08	0.999999470763169	7.53715348050812e-08
7_17	8.43180950437264e-10	1.12424126724969e-09	3.04042112403702e-12	4.00034190328188e-11	1.19992896282999e-10	0.999999877385399	2.89702355284883e-12	1.20225202662412e-10	1.20361008176953e-07
7_20	7.35926670046508e-08	9.81235560062072e-08	4.97382883437108e-08	2.54726873211005e-08	8.17966370399611e-08	7.5403197420474e-08	4.97382749396203e-08	0.999999470763184	7.53715348050855e-08
7_3	1.70384911367219e-12	2.27179881822961e-12	1.53125150944978e-09	2.54528186064371e-08	0.999999812308541	1.20021460029651e-10	1.44596962434907e-09	8.19318891668954e-08	7.72055228195576e-08
7_33	7.35926670046382e-08	9.81235560061835e-08	4.97382883437136e-08	2.54726873211001e-08	8.17966370399645e-08	7.54031974204697e-08	4.97382749396217e-08	0.999999470763169	7.53715348050812e-08
7_38	1.70158812759644e-12	2.2687841701286e-12	5.30319489554566e-08	2.71941537886058e-08	1.17758434046121e-07	2.59463448389669e-10	4.28286783476655e-08	7.62533771280785e-08	0.999999682669974
7_47	2.26899133424038e-07	3.0253217789871e-07	3.41922819369922e-07	0.336263269033277	0.00111803896919434	0.662549825009631	3.16911784191605e-07	4.09258074767976e-05	2.67529144777854e-05
7_50	7.56822739815361e-10	1.00909698642049e-09	0.702343326692221	9.77077523170074e-07	1.09816782856731e-06	2.18089784885496e-09	6.53498787772567e-06	0.297611654001876	3.64051258708503e-05
7_53	8.43180950437264e-10	1.12424126724969e-09	3.04042112403711e-12	4.00034190328223e-11	1.19992896283023e-10	0.999999877385456	2.89702355284916e-12	1.20225202662419e-10	1.20361008176963e-07
7_54	7.98719587627071e-08	1.06495945016943e-07	4.90723593934899e-08	2.5129209072353e-08	7.66782690021077e-08	1.19564099076864e-07	4.90723560193184e-08	7.53768744811907e-08	0.999999418738922
7_55	8.43181018475599e-10	1.12424135796747e-09	3.04041849919329e-12	4.00027042637407e-11	1.19992901906372e-10	0.999999877308391	2.89702378563054e-12	1.20224695040705e-10	1.20438027331776e-07
7_6	0.0018906832262997	0.000107287852915555	2.22021615057351e-09	3.93508871921328e-08	0.998001651555555	9.39215026587081e-08	2.08859482131865e-09	1.18328045746406e-07	1.21456010750058e-07
7_65	1.70384911367217e-12	2.27179881822957e-12	1.53125150944976e-09	2.54528186064375e-08	0.999999812308548	1.20021460029643e-10	1.44596962434905e-09	8.19318891668919e-08	7.72055228195555e-08
7_69	8.43180950437312e-10	1.12424126724976e-09	3.04042112403728e-12	4.00034190328223e-11	1.19992896283009e-10	0.999999877385456	2.89702355284916e-12	1.20225202662426e-10	1.20361008176963e-07
7_70	0.0309040962039252	0.96909580807302	2.4590337037218e-12	1.32325866929303e-12	3.96977586496708e-12	1.96510753338473e-09	2.41755248569996e-12	3.9703409639737e-12	9.37437492776886e-08
8_11	0.42856950397295	0.571430166200479	1.07712111547878e-10	5.39003965493861e-11	1.62090313431684e-10	8.62201516773817e-08	5.18136261759132e-11	1.36605842770407e-07	1.06625042932456e-07
8_2	8.43180950437252e-10	1.12424126724968e-09	3.04042112403706e-12	4.00034190328217e-11	1.19992896283008e-10	0.999999877385399	2.89702355284891e-12	1.20225202662421e-10	1.20361008176967e-07
8_37	1.0371158110969e-12	1.38282108146255e-12	7.21137272306353e-09	4.81741364163953e-10	1.44516721059006e-09	2.89612534981431e-12	0.999999969368887	1.07232972406379e-08	1.07642070729701e-08
8_38	1.0634966155522e-09	1.41799548740292e-09	5.97249178411443e-07	6.2384055922369e-08	7.66008632907917e-08	0.999999053539156	1.08400619376452e-08	7.68023338709408e-08	1.2010285884972e-07
8_43	8.43181018475611e-10	1.12424135796747e-09	3.04041849919316e-12	4.00027042637395e-11	1.1999290190637e-10	0.999999877308391	2.8970237856305e-12	1.20224695040704e-10	1.20438027331773e-07
8_5	1.03778957440479e-12	1.38371943253969e-12	7.21353238833207e-09	4.81929172812272e-10	1.44557366943663e-09	3.39146573920183e-12	0.999999967098262	1.09615406407264e-08	1.2793357747214e-08
8_51	0.963325090228966	0.0366748162762223	2.45897941384425e-12	1.32322928517238e-12	3.96968769330322e-12	1.96494786377486e-09	2.41749952042969e-12	3.97025277937638e-12	9.15157378680463e-08
8_52	1.70384911367229e-12	2.27179881822974e-12	1.53125150944982e-09	2.54528186064382e-08	0.999999812308534	1.20021460029663e-10	1.44596962434909e-09	8.19318891669001e-08	7.72055228195642e-08
8_55	1.70384911367229e-12	2.27179881822974e-12	1.53125150944982e-09	2.54528186064353e-08	0.999999812308534	1.2002146002966e-10	1.44596962434909e-09	8.19318891669001e-08	7.7205522819562e-08
8_58	1.05550562528312e-12	1.40734083371082e-12	0.999999889071595	5.20091960240882e-10	1.5313783696988e-09	3.04123179538718e-12	7.21666818240394e-09	5.10423215460438e-08	5.06124482185039e-08
8_66	0.958906536999455	0.0410933673722208	2.4566016302236e-12	1.32194992469136e-12	3.96584961270097e-12	1.96316397086108e-09	2.41516143860603e-12	3.96641415279369e-12	9.36510348579332e-08
