sample	AA	BB	CC	DD	EE	FF	GG	HH	II	JJ	KK	LL	MM	NN	OO	PP	QQ	RR	SS
MAGIC.554	2.24980638684302e-10	1.25275363475249e-07	8.71097625272072e-08	1.67631496419886e-07	5.27954036797832e-06	2.27328818383039e-06	1.98648981516666e-07	2.80597054397555e-08	4.67273093099339e-07	9.42875218814227e-08	0.999989656461652	2.66241015108371e-07	8.71659955906757e-08	2.60805084215722e-07	5.10901652193747e-07	8.71659997700967e-08	9.38165227467564e-08	1.40203438379562e-07	1.75899180287051e-07
MAGIC.555	4.10291718431225e-10	6.43462176638314e-07	0.000944525977874716	2.26070698624493e-07	2.2780836818678e-07	2.27064786300558e-07	2.29748547371284e-07	5.39190867064954e-08	2.27048419163392e-07	2.04643755452242e-07	2.27958616060163e-07	2.05517020209981e-07	0.00216663104013552	3.72799724665767e-07	2.27204654991957e-07	0.996885088400252	2.04658886295558e-07	2.70916223928811e-07	2.05350480849045e-07
MAGIC.556	1.64727488084939e-09	9.2962267379571e-08	7.77861186131438e-08	9.39078092600479e-08	9.34154270094289e-08	9.34155874654996e-08	9.32009827731043e-08	1.86045393264012e-08	9.29550390339463e-08	0.9999978344254	9.34149647259443e-08	3.95418960333878e-07	7.7786118009241e-08	9.28289561872309e-08	9.29547516391419e-08	7.77861190569753e-08	4.64086949929949e-07	1.1081839445901e-07	1.0258433416904e-07
MAGIC.563	1.57067113304816e-10	1.40424757315698e-07	5.32677814814076e-06	8.65431172464383e-08	8.69213578574585e-08	8.69197479652676e-08	8.72470665916192e-08	2.06411018370163e-08	8.69175373712101e-08	7.83413392154602e-08	8.69786861895019e-08	7.86747822405095e-08	0.999983437010721	1.40270351351783e-07	8.69804581134307e-08	9.90852914499132e-06	7.83421325566789e-08	1.03711239401837e-07	7.86112395940893e-08
MAGIC.564	4.84943037952464e-09	4.58027690989551e-07	3.22061456535781e-07	6.12689853102673e-07	5.55009847006594e-05	3.38055026761363e-05	7.25434840858805e-07	1.02348477555573e-07	0.000139565836348809	1.46420931704346e-06	0.992661253839629	0.00709573708962414	3.18643873126753e-07	1.04354980804508e-06	6.91931866864877e-06	3.18639536919674e-07	6.08520807982548e-07	5.21134333996386e-07	7.17318914182114e-07
MAGIC.567	3.71081725540018e-11	2.04300824802321e-08	2.03585247177806e-08	7.89093093968159e-08	2.7563954825384e-08	2.75639560082454e-08	2.73643724329546e-08	0.999999501047402	2.74715977450887e-08	1.84815805154306e-08	2.75639551355042e-08	1.85882981484259e-08	2.03585247182688e-08	2.05099270048598e-08	2.74716377660811e-08	2.0358524966781e-08	1.84810648095633e-08	7.88656753954992e-08	1.85744992417359e-08
MAGIC.568	3.33647832887997e-10	9.26811931254291e-08	7.75879363591098e-08	9.30083254385124e-08	9.27158087977929e-08	9.27158294970546e-08	9.41302605759735e-08	1.85562271843207e-08	9.27134665065363e-08	2.80540740314959e-07	9.27159148633938e-08	1.65526915367143e-07	7.75879365709341e-08	9.25890318308958e-08	9.27136804867517e-08	7.75914813212525e-08	0.999998253744245	1.10226761827541e-07	1.02320595351283e-07
MAGIC.569	3.95030392908328e-10	2.18917264809635e-07	1.5386844403826e-07	3.38298008168537e-07	1.2089604847173e-05	0.00053813721243539	4.28750940830658e-07	5.675065937791e-08	0.999059641566494	1.64892350970611e-07	5.29153397911265e-06	5.12663105374973e-07	1.53108019700739e-07	1.17427027331396e-06	0.000380723615185543	1.52560624163488e-07	1.64340248907965e-07	2.86846045460663e-07	3.10806047280041e-07
MAGIC.570	2.43810728919912e-10	1.10262508424842e-07	7.80249082365027e-08	1.1014835785075e-07	1.74109693861502e-07	1.74983709554231e-07	1.10148379631824e-07	1.86868471196447e-08	1.74111425759714e-07	1.02545751948939e-07	1.74057678550159e-07	1.93336550549689e-07	7.80248038688117e-08	1.74240935351973e-07	1.74061504956913e-07	7.8024808127986e-08	1.02542905395418e-07	9.29697576890436e-08	0.999997879475664
MAGIC.571	3.55398171872294e-10	0.999992276881381	4.40222471527266e-07	1.97280227607435e-07	4.48264580921501e-07	1.31100871799361e-07	1.94929021137954e-07	2.08111759666165e-08	1.23298729077056e-07	9.40068582788074e-08	4.48264150408436e-07	1.12055158723848e-07	4.40222471073616e-07	4.19836631712958e-06	1.23293480576464e-07	4.40773775900573e-07	9.40032261329774e-08	1.03773468713933e-07	1.12097230406368e-07
MAGIC.572	4.66561889378517e-10	1.09469817865613e-06	0.997681797161256	2.57153745140984e-07	7.89734805268107e-07	2.59307974717338e-07	4.98101713838068e-07	6.13322540164923e-08	2.60551621327147e-07	2.32708853417368e-07	2.60468974917208e-07	2.33863929766393e-07	0.00115553824217477	8.82100814765008e-07	2.58331050532964e-07	0.0011567984567178	2.32998319026383e-07	3.10672394362363e-07	2.33648647448831e-07
MAGIC.573	2.22511583583373e-10	1.22495170382012e-07	8.75066370326309e-08	1.64336500264799e-07	1.06234621164715e-06	5.09183312325334e-07	1.96442320820342e-07	2.7805164979301e-08	0.999995033637167	9.35038842313446e-08	4.64981305312274e-07	2.85615715810679e-07	8.67631381651489e-08	2.57065399957077e-07	1.11191933733866e-06	8.67631381673042e-08	9.35019626278333e-08	1.40269998660258e-07	1.75641119965588e-07
MAGIC.576	3.36287729487111e-10	9.27743179980556e-08	7.76142672974313e-08	1.38508696980053e-07	9.2751809044376e-08	9.27519892874828e-08	9.47745861047601e-08	1.85627441250543e-08	9.27508836221137e-08	3.32613316812096e-07	9.28395750144118e-08	1.64571114515865e-07	7.76144434296478e-08	9.26266386768318e-08	9.29271925657567e-08	7.76158306324834e-08	0.999998153181736	1.12837296663055e-07	1.02347287391046e-07
